,Date Posted,Address,Area,Price,Number of Bedrooms,Number of Toilets,Category,City,Price Level,Number of Rooms,Furniture,District,Price Range
350,15/10/2024,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",93.0,15000000.0,3.0,2.0,Căn hộ chung cư,Hà Nội,5,3.0,Fully Furnished,Hai bà trưng,10 - 40 triệu
351,15/10/2024,"Saigon South Residences, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, Hồ Chí Minh",70.0,14000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Nhà bè,10 - 40 triệu
352,15/10/2024,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",53.0,8000000.0,2.0,1.0,Căn hộ chung cư,Hà Nội,4,2.0,Fully Furnished,Gia lâm,5 - 10 triệu
353,15/10/2024,"33/14, Đường Lý Văn Phức, Phường Tân Định, Quận 1, Hồ Chí Minh",64.0,38000000.0,4.0,4.0,Nhà riêng,Thành phố Hồ Chí Minh,5,4.0,Unfurnished,Quận 1,10 - 40 triệu
355,15/10/2024,"Dự án Lakeview City, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",100.0,27000000.0,4.0,,Shophouse nhà phố thương mại,Thành phố Hồ Chí Minh,5,4.0,Basic,Quận 2,10 - 40 triệu
356,15/10/2024,"Dự án Sala Đại Quang Minh,  Quận 2, Hồ Chí Minh",480.0,109000000.0,6.0,4.0,Shophouse nhà phố thương mại,Thành phố Hồ Chí Minh,8,6.0,Fully Furnished,Quận 2,Trên 100 triệu
357,11/10/2024,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",80.0,15000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Nam từ liêm,10 - 40 triệu
358,02/10/2024,"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",65.0,7000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Unspecified,Quận 1,5 - 10 triệu
359,14/10/2024,"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",50.0,7000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
360,15/10/2024,"Đường Vân Trì, Xã Vân Nội, Đông Anh, Hà Nội",85.0,5000000.0,,,Nhà mặt phố,Hà Nội,4,1.0,Unspecified,Đông anh,5 - 10 triệu
361,15/10/2024,"Saigon Pearl, 92, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",120.0,60000000.0,,,Văn phòng,Thành phố Hồ Chí Minh,6,1.0,Unspecified,Bình thạnh,40 - 70 triệu
362,15/10/2024,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",78.0,9000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Fully Furnished,Quận 8,5 - 10 triệu
363,15/10/2024,"Đường Nơ Trang Long, Phường 14, Bình Thạnh, Hồ Chí Minh",30.0,7000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Unspecified,Bình thạnh,5 - 10 triệu
364,15/10/2024,"Đường Chu Văn An, Phường 26, Bình Thạnh, Hồ Chí Minh",28.0,7000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
365,15/10/2024,"Dự án Sunrise Riverside, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",33.0,7000000.0,,,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Basic,Nhà bè,5 - 10 triệu
366,14/10/2024,"404, Đường Hoàng Diệu, Phường 2, Quận 4, Hồ Chí Minh",72.0,15000000.0,,,Văn phòng,Thành phố Hồ Chí Minh,5,1.0,Unfurnished,Quận 4,10 - 40 triệu
367,15/10/2024,"Đường Nguyễn Chí Thanh, Phường Ngọc Khánh, Ba Đình, Hà Nội",25.0,,,,Văn phòng,Hà Nội,-1,1.0,Unspecified,Ba đình,Thỏa thuận
368,15/10/2024,"Đường Dã Tượng, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",43.0,8000000.0,2.0,2.0,Nhà riêng,Hà Nội,4,2.0,Unspecified,Hoàn kiếm,5 - 10 triệu
369,15/10/2024,"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",57.0,6000000.0,2.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Fully Furnished,Quận 1,5 - 10 triệu
370,09/10/2024,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",100.0,16000000.0,,,Văn phòng,Hà Nội,5,1.0,Fully Furnished,Thanh xuân,10 - 40 triệu
371,15/10/2024,"Trung Kính, Trung Hòa, Cầu Giấy, Hà Nội",100.0,25000000.0,,,Nhà riêng,Hà Nội,5,1.0,Unspecified,Cầu giấy,10 - 40 triệu
372,15/10/2024,"Xi Grand Court, 256, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",89.0,15000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 1,10 - 40 triệu
373,15/10/2024,"567 Đường Bình Thới, Phường 10, Quận 11, Hồ Chí Minh",105.0,55000000.0,3.0,4.0,"Nhà biệt thự, liền kề",Thành phố Hồ Chí Minh,6,3.0,Unspecified,Quận 1,40 - 70 triệu
374,15/10/2024,"Đường Đào Sư Tích, Xã Phước Lộc, Nhà Bè, Hồ Chí Minh",81.0,10000000.0,4.0,2.0,Nhà riêng,Thành phố Hồ Chí Minh,5,4.0,Basic,Nhà bè,10 - 40 triệu
375,15/10/2024,"Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",120.0,24000000.0,3.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Unspecified,Quận 7,10 - 40 triệu
376,15/10/2024,"99, Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",75.0,125000000.0,6.0,6.0,Nhà mặt phố,Thành phố Hồ Chí Minh,8,6.0,Basic,Quận 1,Trên 100 triệu
377,15/10/2024,"Kingston Residence, 146, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh",83.0,15000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Basic,Phú nhuận,10 - 40 triệu
378,11/10/2024,"Dự án Xi Grand Court, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",109.0,24000000.0,3.0,3.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Fully Furnished,Quận 1,10 - 40 triệu
379,15/10/2024,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",80.0,15000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Nam từ liêm,10 - 40 triệu
380,15/10/2024,"Dự án Khu A - Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội",120.0,,,3.0,"Nhà biệt thự, liền kề",Hà Nội,-1,1.0,Unspecified,Hoài đức,Thỏa thuận
381,15/10/2024,"Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",76.0,16000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
382,10/10/2024,"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",65.0,8000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Fully Furnished,Quận 1,5 - 10 triệu
383,15/10/2024,"Hoàng Anh An Tiến - Gold House, 187A, Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",121.0,10000000.0,3.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Basic,Nhà bè,10 - 40 triệu
384,15/10/2024,"Đường Số 7, Phường An Lạc, Bình Tân, Hồ Chí Minh",315.0,120000000.0,,,Nhà mặt phố,Thành phố Hồ Chí Minh,8,1.0,Unspecified,Bình tân,Trên 100 triệu
385,15/10/2024,"Dự án Vinhomes Riverside, Đường Anh Đào 8, Phường Việt Hưng, Long Biên, Hà Nội",170.0,33000000.0,4.0,4.0,"Nhà biệt thự, liền kề",Hà Nội,5,4.0,Fully Furnished,Long biên,10 - 40 triệu
387,15/10/2024,"The Tresor, 39, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",75.0,18000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 4,10 - 40 triệu
389,15/10/2024,"Dự án Sunrise Riverside, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",30.0,6000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Basic,Nhà bè,5 - 10 triệu
390,15/10/2024,"Discovery Central, 67, Đường Trần Phú, Phường Điện Biên, Ba Đình, Hà Nội",120.0,,3.0,3.0,Căn hộ chung cư,Hà Nội,-1,3.0,Fully Furnished,Ba đình,Thỏa thuận
391,05/10/2024,"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",75.0,13000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Unspecified,Quận 7,10 - 40 triệu
392,12/10/2024,"Khu đô thị Vạn Phúc City, Quốc Lộ 13, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",140.0,45000000.0,6.0,7.0,Nhà mặt phố,Thành phố Hồ Chí Minh,6,6.0,Unspecified,Thủ đức,40 - 70 triệu
393,11/10/2024,"Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",35.0,8000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
394,05/10/2024,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",72.0,17000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Nam từ liêm,10 - 40 triệu
395,12/10/2024,"Dự án The Golden Star, Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",77.0,14000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,High-end,Quận 7,10 - 40 triệu
397,12/10/2024,"Dự án The Marq, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",72.0,40000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,6,2.0,Fully Furnished,Quận 1,40 - 70 triệu
398,12/10/2024,"Đường Lũy Bán Bích, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",35.0,6000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Tân phú,5 - 10 triệu
399,12/10/2024,"Dự án Sky Garden 3, Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh",81.0,13000000.0,3.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Unspecified,Quận 7,10 - 40 triệu
400,12/10/2024,"109, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",56.0,45000000.0,,,Nhà riêng,Hà Nội,6,1.0,Unspecified,Thanh xuân,40 - 70 triệu
401,10/10/2024,"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",65.0,7000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Unspecified,Quận 1,5 - 10 triệu
402,12/10/2024,"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",35.0,6000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Unspecified,Phú nhuận,5 - 10 triệu
403,12/10/2024,"Đường Ngô Tất Tố, Phường 19, Bình Thạnh, Hồ Chí Minh",45.0,8000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
404,12/10/2024,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",87.0,18000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 1,10 - 40 triệu
406,12/10/2024,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",147.0,,4.0,3.0,Căn hộ chung cư,Hà Nội,-1,4.0,Fully Furnished,Ba đình,Thỏa thuận
407,12/10/2024,"Orchard Park View, 128, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh",75.0,14000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Phú nhuận,10 - 40 triệu
408,12/10/2024,"Dự án Sunrise Riverside, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",33.0,7000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Unfurnished,Nhà bè,5 - 10 triệu
409,09/10/2024,"Dự án Estella Heights, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh.",104.0,27000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 2,10 - 40 triệu
410,12/10/2024,"Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",1.35,500000000.0,6.0,6.0,Nhà mặt phố,Thành phố Hồ Chí Minh,8,6.0,Unspecified,Quận 1,Trên 100 triệu
411,12/10/2024,"Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",76.0,18000000.0,1.0,,Căn hộ chung cư,Hà Nội,5,1.0,Fully Furnished,Tây hồ,10 - 40 triệu
412,12/10/2024,"Akari City Nam Long, Số 77, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",61.0,8000000.0,2.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Unspecified,Bình tân,5 - 10 triệu
413,12/10/2024,"Đường Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,8000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
414,12/10/2024,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",25.0,4000000.0,1.0,1.0,"Nhà trọ, phòng trọ",Thành phố Hồ Chí Minh,3,1.0,Fully Furnished,Gò vấp,3 - 5 triệu
415,12/10/2024,"Đường Tô Hiệu, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",100.0,,,,Văn phòng,Hà Nội,-1,1.0,Fully Furnished,Cầu giấy,Thỏa thuận
416,12/10/2024,"Đường Bãi Dài, Xã Tiến Xuân, Thạch Thất, Hà Nội",1.0,45000000.0,,,"Kho, nhà xưởng, đất",Hà Nội,6,1.0,Unspecified,Thạch thất,40 - 70 triệu
417,12/10/2024,"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",32.0,6000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Tân phú,5 - 10 triệu
418,12/10/2024,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",75.0,11000000.0,5.0,4.0,"Nhà biệt thự, liền kề",Hà Nội,5,5.0,Basic,Hoàng mai,10 - 40 triệu
419,12/10/2024,"Dự án C37 Bộ Công An - Bắc Hà Tower, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",115.0,13000000.0,3.0,2.0,Căn hộ chung cư,Hà Nội,5,3.0,Basic,Nam từ liêm,10 - 40 triệu
420,12/10/2024,"Dự án Q7 Boulevard, Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",75.0,9000000.0,3.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,3.0,Unspecified,Quận 7,5 - 10 triệu
421,12/10/2024,"702, Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú",200.0,60000000.0,,,Nhà mặt phố,Thành phố Hồ Chí Minh,6,1.0,Unspecified,Tân phú,40 - 70 triệu
422,12/10/2024,"Đường  Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh.",50.0,8000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Phú nhuận,5 - 10 triệu
423,12/10/2024,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",30.0,6000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Quận 7,5 - 10 triệu
424,12/10/2024,"MT Eastmark City, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",120.0,12000000.0,,,Shophouse nhà phố thương mại,Thành phố Hồ Chí Minh,5,1.0,Basic,Quận 9,10 - 40 triệu
425,12/10/2024,"Số 42 ngõ 156, Phố Hồng Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",60.0,20000000.0,8.0,4.0,Nhà riêng,Hà Nội,5,8.0,Fully Furnished,Hai bà trưng,10 - 40 triệu
426,12/10/2024,"Đường Hiền Vương, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",30.0,5000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Tân phú,5 - 10 triệu
427,12/10/2024,"Phường Yên Nghĩa, Hà Đông, Hà Nội",5.8,850000000.0,,,"Kho, nhà xưởng, đất",Hà Nội,8,1.0,Unspecified,Hà đông,Trên 100 triệu
428,04/10/2024,"Dự án Sky Garden 3, Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh",71.0,10000000.0,2.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
430,12/10/2024,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",100.0,24000000.0,3.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Fully Furnished,Quận 2,10 - 40 triệu
432,12/10/2024,"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",42.0,5000000.0,1.0,1.0,Căn hộ chung cư,Hà Nội,4,1.0,Unspecified,Ba đình,5 - 10 triệu
433,12/10/2024,"Dự án Heritage West Lake, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",45.0,18000000.0,,,Căn hộ chung cư,Hà Nội,5,1.0,Fully Furnished,Tây hồ,10 - 40 triệu
434,12/10/2024,"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",58.0,40000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,6,1.0,Fully Furnished,Quận 1,40 - 70 triệu
435,10/10/2024,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",80.0,15000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Nam từ liêm,10 - 40 triệu
436,07/10/2024,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",78.0,17000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Nam từ liêm,10 - 40 triệu
437,12/10/2024,"105/30/21, Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",20.0,4000000.0,,,"Nhà trọ, phòng trọ",Thành phố Hồ Chí Minh,3,1.0,Basic,Quận 1,3 - 5 triệu
438,12/10/2024,"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",70.0,9000000.0,2.0,2.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,2.0,Fully Furnished,Phú nhuận,5 - 10 triệu
439,12/10/2024,"Dự án CityLand Riverside, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh",100.0,30000000.0,,1.0,"Cửa hàng, ki ốt",Thành phố Hồ Chí Minh,5,1.0,Unfurnished,Quận 7,10 - 40 triệu
440,12/10/2024,"Số 30, Đường Phan Chu Trinh, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",30.0,50000000.0,,,Nhà mặt phố,Hà Nội,6,1.0,Unspecified,Hoàn kiếm,40 - 70 triệu
441,12/10/2024,"Dự án The Rivana, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",52.0,5000000.0,1.0,1.0,Căn hộ chung cư,Bình Dương,4,1.0,Basic,Thuận an,5 - 10 triệu
444,12/10/2024,"257/11/12, Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",20.0,6000000.0,1.0,1.0,"Nhà trọ, phòng trọ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Phú nhuận,5 - 10 triệu
445,12/10/2024,"Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh",52.0,8000000.0,,,Văn phòng,Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
446,12/10/2024,"Đường Ngọc Thụy, Phường Thượng Thanh, Long Biên, Hà Nội",60.0,15000000.0,4.0,5.0,Nhà riêng,Hà Nội,5,4.0,Fully Furnished,Long biên,10 - 40 triệu
447,12/10/2024,"Đường Phan Xích Long, Phường 1, Phú Nhuận, Hồ Chí Minh",80.0,32000000.0,2.0,,Nhà riêng,Thành phố Hồ Chí Minh,5,2.0,Basic,Phú nhuận,10 - 40 triệu
448,12/10/2024,"Dự án D’. El Dorado, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội",76.0,,2.0,2.0,Căn hộ chung cư,Hà Nội,-1,2.0,Fully Furnished,Tây hồ,Thỏa thuận
449,12/10/2024,"Đường Phan Văn Hân, Phường 14, Bình Thạnh, Hồ Chí Minh",35.0,6000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
450,09/10/2024,"Dự án Thảo Điền Pearl, Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh",136.0,34000000.0,3.0,,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Fully Furnished,Quận 2,10 - 40 triệu
451,12/10/2024,"Dự án Park Kiara, Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội.",60.0,13000000.0,2.0,1.0,Căn hộ chung cư,Hà Nội,5,2.0,Basic,Hà đông,10 - 40 triệu
452,12/10/2024,"Tổ 7, Thị trấn Quang Minh, Mê Linh, Hà Nội",60.0,,5.0,6.0,Nhà riêng,Hà Nội,-1,5.0,Fully Furnished,Mê linh,Thỏa thuận
453,12/10/2024,"Dự án ParkCity Hà Nội, Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội.",120.0,24000000.0,4.0,3.0,"Nhà biệt thự, liền kề",Hà Nội,5,4.0,Fully Furnished,Hà đông,10 - 40 triệu
454,12/10/2024,"Diamond Alnata, Đường CN3, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",85.0,16000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Basic,Tân phú,10 - 40 triệu
455,12/10/2024,"171 Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",28.0,7000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Thành phố Hồ Chí Minh,4,1.0,Fully Furnished,Bình thạnh,5 - 10 triệu
456,12/10/2024,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",79.0,10000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Basic,Quận 8,10 - 40 triệu
457,12/10/2024,"160, Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",45.0,15000000.0,,1.0,Văn phòng,Thành phố Hồ Chí Minh,5,1.0,Unfurnished,Quận 3,10 - 40 triệu
458,12/10/2024,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",3.0,550000000.0,,,Nhà mặt phố,Hà Nội,8,1.0,Fully Furnished,Long biên,Trên 100 triệu
459,03/10/2024,"Phường Bình An, Quận 2, Hồ Chí Minh",200.0,70000000.0,,5.0,Văn phòng,Thành phố Hồ Chí Minh,7,1.0,Fully Furnished,Quận 2,70 - 100 triệu
460,12/10/2024,"Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội",325.0,100000000.0,,,Văn phòng,Hà Nội,8,1.0,Fully Furnished,Thanh xuân,Trên 100 triệu
461,12/10/2024,"Dự án Estella Heights, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh.",102.0,35000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 2,10 - 40 triệu
462,12/10/2024,"Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội.",600.0,240000000.0,,,Văn phòng,Hà Nội,8,1.0,Unspecified,Nam từ liêm,Trên 100 triệu
463,12/10/2024,"Ngõ 294, Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",50.0,7000000.0,1.0,1.0,"Chung cư mini, căn hộ dịch vụ",Hà Nội,4,1.0,Fully Furnished,Ba đình,5 - 10 triệu
464,12/10/2024,"Green Diamond 93 Láng Hạ, Láng Hạ, Láng Hạ, Đống Đa, Hà Nội",85.0,17000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Unspecified,Đống đa,10 - 40 triệu
465,12/10/2024,"Dự án Sky Garden 3, Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh",71.0,10000000.0,2.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
466,12/10/2024,"Le Capitole, 27, Phố Thái Thịnh, Phường Trung Liệt, Đống Đa, Hà Nội",46.0,12000000.0,1.0,,Căn hộ chung cư,Hà Nội,5,1.0,Unspecified,Đống đa,10 - 40 triệu
